Format Version,1.22,Take Name,hw3_v2_A_007,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,29 Dec 1969 00:51:41 +0800,Total Frames in Take,813,Total Exported Frames,813,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02
,,"4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
80,0.222222,,,,,,,,-0.071918,-0.440559,0.261677,-0.855723,-1.262150,0.176335,0.898740
81,0.225000,,,,,,,,-0.071976,-0.440554,0.261608,-0.855741,-1.262153,0.176302,0.898757
82,0.227778,,,,,,,,-0.071848,-0.440605,0.261630,-0.855719,-1.262192,0.176242,0.898729
83,0.230556,,,,,,,,-0.071808,-0.440605,0.261608,-0.855729,-1.262183,0.176236,0.898719
84,0.233333,,,,,,,,-0.071915,-0.440569,0.261697,-0.855712,-1.262161,0.176321,0.898742
85,0.236111,,,,,,,,-0.071990,-0.440573,0.261615,-0.855728,-1.262164,0.176308,0.898756
86,0.238889,,,,,,,,-0.071911,-0.440580,0.261686,-0.855709,-1.262153,0.176337,0.898745
87,0.241667,,,,,,,,-0.071755,-0.440609,0.261673,-0.855712,-1.262179,0.176283,0.898706
88,0.244444,,,,,,,,,,,,,,
89,0.247222,,,,,,,,-0.071746,-0.440591,0.261697,-0.855714,-1.262189,0.176269,0.898705
90,0.250000,,,,,,,,-0.071739,-0.440609,0.261675,-0.855713,-1.262186,0.176274,0.898699
91,0.252778,,,,,,,,-0.071876,-0.440580,0.261689,-0.855712,-1.262160,0.176333,0.898736
92,0.255556,,,,,,,,-0.071889,-0.440573,0.261690,-0.855714,-1.262154,0.176343,0.898744
93,0.258333,,,,,,,,-0.071762,-0.440594,0.261709,-0.855708,-1.262177,0.176290,0.898716
94,0.261111,,,,,,,,-0.071814,-0.440612,0.261617,-0.855722,-1.262200,0.176235,0.898719
95,0.263889,,,,,,,,-0.071896,-0.440565,0.261687,-0.855718,-1.262163,0.176326,0.898735
96,0.266667,,,,,,,,-0.071905,-0.440562,0.261682,-0.855720,-1.262153,0.176337,0.898749
97,0.269444,,,,,,,,-0.071786,-0.440597,0.261700,-0.855707,-1.262187,0.176282,0.898713
98,0.272222,,,,,,,,-0.071945,-0.440575,0.261632,-0.855725,-1.262166,0.176298,0.898757
99,0.275000,,,,,,,,-0.071942,-0.440541,0.261682,-0.855728,-1.262148,0.176331,0.898745
100,0.277778,,,,,,,,-0.071914,-0.440535,0.261671,-0.855737,-1.262149,0.176331,0.898745
101,0.280556,,,,,,,,-0.071717,-0.440607,0.261672,-0.855716,-1.262176,0.176292,0.898705
102,0.283333,,,,,,,,-0.071699,-0.440632,0.261662,-0.855708,-1.262183,0.176276,0.898710
103,0.286111,,,,,,,,-0.071938,-0.440582,0.261621,-0.855726,-1.262168,0.176287,0.898761
104,0.288889,,,,,,,,-0.071829,-0.440619,0.261594,-0.855724,-1.262188,0.176233,0.898735
105,0.291667,,,,,,,,-0.071903,-0.440582,0.261703,-0.855704,-1.262157,0.176327,0.898731
106,0.294444,,,,,,,,-0.071847,-0.440591,0.261657,-0.855718,-1.262196,0.176237,0.898730
107,0.297222,,,,,,,,-0.071911,-0.440576,0.261707,-0.855705,-1.262162,0.176324,0.898746
108,0.300000,,,,,,,,-0.071758,-0.440605,0.261695,-0.855707,-1.262185,0.176282,0.898712
109,0.302778,,,,,,,,-0.071877,-0.440586,0.261683,-0.855710,-1.262160,0.176333,0.898739
110,0.305556,,,,,,,,-0.071889,-0.440566,0.261705,-0.855713,-1.262163,0.176364,0.898735
111,0.308333,,,,,,,,-0.071791,-0.440579,0.261722,-0.855709,-1.262193,0.176280,0.898712
112,0.311111,,,,,,,,-0.071889,-0.440559,0.261709,-0.855715,-1.262153,0.176334,0.898740
113,0.313889,,,,,,,,-0.071768,-0.440597,0.261689,-0.855712,-1.262178,0.176285,0.898709
114,0.316667,,,,,,,,-0.071868,-0.440584,0.261710,-0.855704,-1.262160,0.176329,0.898732
115,0.319444,,,,,,,,-0.071779,-0.440606,0.261709,-0.855700,-1.262184,0.176287,0.898712
116,0.322222,,,,,,,,-0.071885,-0.440557,0.261701,-0.855719,-1.262150,0.176332,0.898732
117,0.325000,,,,,,,,-0.071904,-0.440548,0.261681,-0.855728,-1.262142,0.176342,0.898730
118,0.327778,,,,,,,,-0.071899,-0.440585,0.261677,-0.855711,-1.262156,0.176339,0.898743
119,0.330556,,,,,,,,-0.071915,-0.440577,0.261702,-0.855705,-1.262151,0.176345,0.898743
120,0.333333,,,,,,,,-0.071908,-0.440561,0.261673,-0.855724,-1.262144,0.176340,0.898736
121,0.336111,,,,,,,,-0.071631,-0.440600,0.261917,-0.855652,-1.262179,0.176250,0.898882
122,0.338889,,,,,,,,-0.071776,-0.440615,0.261704,-0.855697,-1.262169,0.176321,0.898779
123,0.341667,,,,,,,,-0.071964,-0.440571,0.261619,-0.855730,-1.262154,0.176305,0.898763
124,0.344444,,,,,,,,-0.071838,-0.440604,0.261623,-0.855723,-1.262181,0.176240,0.898732
125,0.347222,,,,,,,,-0.071957,-0.440582,0.261624,-0.855723,-1.262170,0.176284,0.898760
126,0.350000,,,,,,,,-0.071917,-0.440569,0.261662,-0.855722,-1.262154,0.176324,0.898743
127,0.352778,,,,,,,,-0.071908,-0.440554,0.261698,-0.855719,-1.262156,0.176332,0.898742
128,0.355556,,,,,,,,-0.071843,-0.440597,0.261618,-0.855727,-1.262184,0.176259,0.898729
129,0.358333,,,,,,,,-0.071896,-0.440585,0.261653,-0.855718,-1.262161,0.176325,0.898741
130,0.361111,,,,,,,,-0.071906,-0.440573,0.261696,-0.855711,-1.262157,0.176337,0.898746
