Format Version,1.22,Take Name,hw3_v2_B_001,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,29 Dec 1969 01:11:04 +0800,Total Frames in Take,654,Total Exported Frames,654,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02
,,"4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
97,0.269444,,,,,,,,-0.140272,-0.161182,0.210643,-0.953925,-0.886600,0.178494,0.697427
98,0.272222,,,,,,,,-0.140283,-0.161148,0.210583,-0.953943,-0.886585,0.178532,0.697441
99,0.275000,,,,,,,,-0.140196,-0.161371,0.211030,-0.953819,-0.886660,0.178320,0.697329
100,0.277778,,,,,,,,-0.140269,-0.161185,0.210660,-0.953921,-0.886600,0.178490,0.697421
101,0.280556,,,,,,,,-0.140193,-0.161368,0.211030,-0.953820,-0.886664,0.178320,0.697327
102,0.283333,,,,,,,,-0.140178,-0.161421,0.211113,-0.953795,-0.886675,0.178279,0.697304
103,0.286111,,,,,,,,-0.140177,-0.161418,0.211108,-0.953797,-0.886677,0.178280,0.697307
104,0.288889,,,,,,,,-0.140178,-0.161415,0.211106,-0.953798,-0.886672,0.178286,0.697314
105,0.291667,,,,,,,,-0.140185,-0.161412,0.211119,-0.953794,-0.886676,0.178276,0.697307
106,0.294444,,,,,,,,-0.140177,-0.161414,0.211108,-0.953797,-0.886679,0.178278,0.697303
107,0.297222,,,,,,,,-0.140182,-0.161406,0.211103,-0.953799,-0.886677,0.178280,0.697310
108,0.300000,,,,,,,,-0.140166,-0.161413,0.211108,-0.953799,-0.886678,0.178275,0.697309
109,0.302778,,,,,,,,-0.140267,-0.161181,0.210667,-0.953921,-0.886602,0.178483,0.697421
110,0.305556,,,,,,,,-0.140190,-0.161359,0.211011,-0.953826,-0.886664,0.178312,0.697331
111,0.308333,,,,,,,,-0.140178,-0.161410,0.211103,-0.953799,-0.886676,0.178281,0.697314
112,0.311111,,,,,,,,-0.140166,-0.161402,0.211113,-0.953800,-0.886676,0.178273,0.697309
113,0.313889,,,,,,,,-0.140175,-0.161414,0.211102,-0.953799,-0.886679,0.178271,0.697313
114,0.316667,,,,,,,,-0.140164,-0.161423,0.211104,-0.953799,-0.886679,0.178277,0.697312
115,0.319444,,,,,,,,-0.140177,-0.161414,0.211113,-0.953796,-0.886676,0.178278,0.697312
116,0.322222,,,,,,,,-0.140172,-0.161416,0.211110,-0.953798,-0.886677,0.178276,0.697311
117,0.325000,,,,,,,,-0.140180,-0.161403,0.211114,-0.953797,-0.886673,0.178279,0.697313
118,0.327778,,,,,,,,-0.140266,-0.161189,0.210678,-0.953918,-0.886600,0.178482,0.697419
119,0.330556,,,,,,,,-0.140193,-0.161369,0.210993,-0.953828,-0.886666,0.178322,0.697331
120,0.333333,,,,,,,,-0.140271,-0.161185,0.210671,-0.953919,-0.886607,0.178479,0.697418
121,0.336111,,,,,,,,-0.140187,-0.161368,0.211001,-0.953828,-0.886660,0.178323,0.697335
122,0.338889,,,,,,,,-0.140180,-0.161406,0.211096,-0.953801,-0.886679,0.178280,0.697308
123,0.341667,,,,,,,,-0.140193,-0.161408,0.211087,-0.953801,-0.886680,0.178276,0.697309
124,0.344444,,,,,,,,-0.140180,-0.161400,0.211098,-0.953801,-0.886684,0.178271,0.697310
125,0.347222,,,,,,,,-0.140169,-0.161420,0.211098,-0.953800,-0.886679,0.178278,0.697309
126,0.350000,,,,,,,,-0.140181,-0.161407,0.211096,-0.953801,-0.886680,0.178276,0.697306
127,0.352778,,,,,,,,-0.140174,-0.161412,0.211096,-0.953801,-0.886680,0.178280,0.697309
128,0.355556,,,,,,,,-0.140176,-0.161414,0.211107,-0.953798,-0.886680,0.178276,0.697308
129,0.358333,,,,,,,,-0.140177,-0.161416,0.211093,-0.953800,-0.886683,0.178279,0.697310
130,0.361111,,,,,,,,-0.140270,-0.161181,0.210678,-0.953918,-0.886605,0.178483,0.697414
131,0.363889,,,,,,,,-0.140200,-0.161351,0.211001,-0.953828,-0.886662,0.178327,0.697335
132,0.366667,,,,,,,,-0.140177,-0.161408,0.211100,-0.953800,-0.886674,0.178278,0.697310
133,0.369444,,,,,,,,-0.140168,-0.161423,0.211098,-0.953799,-0.886678,0.178281,0.697311
134,0.372222,,,,,,,,-0.140261,-0.161209,0.210706,-0.953909,-0.886601,0.178482,0.697414
135,0.375000,,,,,,,,-0.140194,-0.161356,0.210997,-0.953829,-0.886653,0.178337,0.697337
136,0.377778,,,,,,,,-0.140175,-0.161421,0.211093,-0.953800,-0.886680,0.178274,0.697309
137,0.380556,,,,,,,,-0.140195,-0.161403,0.211104,-0.953797,-0.886677,0.178276,0.697315
138,0.383333,,,,,,,,-0.140274,-0.161187,0.210682,-0.953915,-0.886601,0.178477,0.697422
139,0.386111,,,,,,,,-0.140211,-0.161351,0.210995,-0.953828,-0.886656,0.178326,0.697336
140,0.388889,,,,,,,,-0.140176,-0.161405,0.211122,-0.953796,-0.886678,0.178277,0.697311
141,0.391667,,,,,,,,-0.140169,-0.161406,0.211093,-0.953803,-0.886670,0.178283,0.697308
